firstName	lastName	ethnicIdentity	genderIdentity	availability	language	location	bio	sexualOrientation	religiousBackground	treatmentModality	areasOfSpecialization	paymentMethods
Richard	Peng	American,Taiwanese	Male	2	English	CA,NY	I’m a licensed clinical psychologist specializing in anxiety disorders. Using a cognitive-behavioral approach, I’ve spent over 10 years helping clients reduce stress, manage panic attacks, and build resilience in their daily lives.	Gay,lesbian	None	Cognitive Behavioral Therapy (CBT),Motivational Interviewing,Psychodynamic Therapy	Depression,Low self-esteem,Ethnicity and racial identity related issues and/or trauma,LGBTQ+ related concerns,Academic stress,Occupation-related stress,Major life transitions,Social fears,Interpersonal problems,Relationship difficulties,Sexual concerns	Aetna,Magellan,Anthem,Self-pay
Alice	Zhang	Chinese,Canadian	Female	10	English,Hindi,French	CA	I have a Ph.D. in clinical psychology and focus on supporting clients experiencing depression. I integrate mindfulness and positive psychology into my practice to help people find joy and meaning, even in challenging times.	Straight	Buddhist	Acceptance and Commitment Therapy (ACT),Cognitive Behavioral Therapy (CBT),Dialectical Behavioral Therapy (DBT),Mindfulness-Based (MBCT)	Anxiety,Panic attacks,Worry,Culturally-responsive treatments,Depression,Low self-esteem,Ethnicity and racial identity related issues and/or trauma,LGBTQ+ related concerns,Academic stress,Occupation-related stress,Major life transitions,Social fears,Interpersonal problems,Relationship difficulties,Work-related stress,Trauma-related stress,Sleep problems	Aetna,Magellan
Nisha	Desai	Indian	Female	3	English,Spanish	NY,FL	As a trauma-informed therapist, I specialize in helping clients heal from past experiences using techniques like EMDR (Eye Movement Desensitization and Reprocessing). My goal is to help you regain control of your life and move forward with confidence.	Straight	Hindu	Cognitive Behavioral Therapy (CBT),Dialectical Behavioral Therapy (DBT),Mindfulness-Based (MBCT),Person Centered Therapy,Art Therapy	Culturally-responsive treatments,Ethnicity and racial identity related issues and/or trauma,Trauma-related stress,Interpersonal problems,Panic attacks,Worry,Anxiety,Low self-esteem,Depression,Relationship difficulties,Social fears,Major life transitions	Anthem,Self-pay
Josephine	Tseng	Korean,American	Female	5	English,Korean	CA	I specialize in stress management, helping clients balance the demands of work and personal life. Through mindfulness and solution-focused therapy, I provide tools to manage stress effectively and create space for well-being.	Straight	Catholic	Acceptance and Commitment Therapy (ACT),Cognitive Behavioral Therapy (CBT),Dialectical Behavioral Therapy (DBT),Mindfulness-Based (MBCT),Motivational Interviewing	Anxiety,Culturally-responsive treatments,Depression,Ethnicity and racial identity related issues and/or trauma,Interpersonal problems,Low self-esteem,Panic attacks,Major life transitions,Relationship difficulties,Social fears,Work-related stress,Worry	Aetna,Magellan,Anthem,Self-pay
Joe	Tanaka	Indian,American	Male	8	English	NY	As a licensed marriage and family therapist, I work with couples to improve communication and strengthen their relationships. My focus is on fostering deeper connections and helping partners navigate challenges together.	Bisexual,pansexual	Prefer not to say	Acceptance and Commitment Therapy (ACT),Cognitive Behavioral Therapy (CBT)	Anxiety,Depression,Culturally-responsive treatments,Panic attacks,Trauma-related stress,OCD	Aetna,Magellan,Anthem
Grace	Yang	Chinese,Taiwanese,American	Female	10	English,Mandarin	WA	I work with parents to develop effective strategies for raising children and managing family dynamics. My empathetic approach helps families navigate transitions and build strong, healthy relationships at home.	Straight	Buddhist	Narrative Therapy,Contextual Therapy,Family Systems Therapy	Anxiety,Panic attacks,Worry,Attention Deficit Hyperactivity Disorder (ADD/ADHD),Culturally-responsive treatments,Depression,Low self-esteem,Ethnicity and racial identity related issues and/or trauma,Social fears,Interpersonal problems,Relationship difficulties,LGBTQ+ related concerns,Academic stress,Occupation-related stress,Major life transitions,Sexual concerns,Trauma-related stress,Autism	Aetna,Anthem,Self-pay
Ashley	Diaz	Southeast Asian	Female	5	English,Tagalog	WA	I’m a compassionate grief counselor who supports individuals and families as they process loss. My client-centered approach is focused on fostering healing, building resilience, and finding a way forward after a difficult experience.	Straight	None	Motivational Interviewing	Anxiety,Panic attacks,Worry,Attention Deficit Hyperactivity Disorder (ADD/ADHD),Culturally-responsive treatments,Depression,Low self-esteem,Ethnicity and racial identity related issues and/or trauma,Social fears,Interpersonal problems,Relationship difficulties,LGBTQ+ related concerns,Academic stress,Occupation-related stress,Major life transitions,Sexual concerns,Trauma-related stress,Autism	Aetna,Magellan,Self-pay
Nora	Smith	African American	Female	5	English	CA	I specialize in helping clients build self-esteem and confidence. Through strengths-based counseling, I empower individuals to overcome self-doubt, embrace their strengths, and develop a positive self-image.	Straight	Christian	Cognitive Behavioral Therapy (CBT),Dialectical Behavioral Therapy (DBT),Mindfulness-Based (MBCT),Eye Movement Desensitization and Reprocessing (EMDR)	Anger management,Anxiety,Grief/bereavement,Mood disorder,Personality disorders,Post-Traumatic Stress Disorder (PTSD),Race-based trauma,Substance use disorder,Trauma therapy	Aetna,Magellan,Anthem,Self-pay
Van	Lam	Chinese,American	Male	4	English,Cantonese	CA	I focus on helping professionals manage workplace stress and burnout. By combining CBT with practical stress management tools, I support clients in regaining balance and fulfillment in their careers.	Straight	None	Cognitive Behavioral Therapy (CBT),Dialectical Behavioral Therapy (DBT),Mindfulness-Based (MBCT),Acceptance and Commitment Therapy (ACT),Motivational Interviewing,Prolonged Exposure Therapy,Therapist's Recommendation,Trauma Focused CBT	Social fears,Interpersonal problems,Relationship difficulties,Academic stress,Occupation-related stress,Major life transitions,Culturally-responsive treatments,Ethnicity and racial identity related issues and/or trauma,Trauma-related stress,Anxiety,Panic attacks,Worry,Sexual concerns,Work-related stress,Attention Deficit Hyperactivity Disorder (ADD/ADHD),Depression,Low self-esteem	Self-pay
Nancy	Nguyen	Vienamese	Female	15	English,Vietnamese	FL,CA	I specialize in working with individuals with ADHD to develop strategies for focus, organization, and emotional regulation. Whether you’re a child, teen, or adult, I’m here to help you harness your strengths and achieve your goals.	Bisexual,pansexual	Christian	Trauma Focused CBT,Psychodynamic Therapy,Relational-Cultural Therapy,Art Therapy	Depression,Low self-esteem,Ethnicity and racial identity related issues and/or trauma,LGBTQ+ related concerns,Social fears,Interpersonal problems,Relationship difficulties,Academic stress,Occupation-related stress,Major life transitions,Anxiety,Panic attacks,Worry,Culturally-responsive treatments	Aetna
